date,maleTofemaleRatio,countryCode
2020-07-01,4,IND
2020-06-01,3.5,IND
2020-05-01,0.5,IND
2020-04-01,0.5,IND
2020-03-01,0.33,IND
2020-02-01,1,IND
2020-01-01,0.5,IND
2020-12-01,0,GBR
2020-11-01,0,GBR
2020-10-01,1.17,GBR
2020-09-01,1,GBR
2020-08-14,0.9,GBR
2020-07-01,0.97,GBR
2020-06-01,1.04,GBR
2020-05-01,0.96,GBR
2020-04-01,1.08,GBR
2020-03-01,0.94,GBR
2020-02-01,1.12,GBR
2020-01-01,1,GBR
2020-12-01,0,OSA
2020-11-01,0,OSA
2020-10-01,0,OSA
2020-09-01,0,OSA
2020-08-14,0,OSA
2020-07-01,0.25,OSA
2020-06-01,0,OSA
2020-05-01,0,OSA
2020-04-01,0,OSA
2020-03-01,0,OSA
2020-02-01,0,OSA
2020-01-01,0,OSA
2020-12-01,0,TUN
2020-11-01,0,TUN
2020-10-01,0,TUN
2020-09-01,0,TUN
2020-08-14,0,TUN
2020-07-01,0,TUN
2020-06-01,0,TUN
2020-05-01,0,TUN
2020-04-01,0,TUN
2020-03-01,0.5,TUN
2020-02-01,0,TUN
2020-01-01,0,TUN
2020-12-01,0,CUB
2020-11-01,0,CUB
2020-10-01,0,CUB
2020-09-01,0,CUB
2020-08-14,0,CUB
2020-07-01,0.5,CUB
2020-06-01,0,CUB
2020-05-01,0,CUB
2020-04-01,0,CUB
2020-03-01,0,CUB
2020-02-01,0,CUB
2020-01-01,0,CUB
2020-12-01,0,ZMB
2020-11-01,0,ZMB
2020-10-01,0,ZMB
2020-09-01,0,ZMB
2020-08-14,0,ZMB
2020-07-01,0,ZMB
2020-06-01,0.5,ZMB
2020-05-01,0,ZMB
2020-04-01,0,ZMB
2020-03-01,0,ZMB
2020-02-01,0,ZMB
2020-01-01,0,ZMB
2020-12-01,0,NOR
2020-11-01,0,NOR
2020-10-01,0,NOR
2020-09-01,0,NOR
2020-08-14,0.78,NOR
2020-07-01,1.29,NOR
2020-06-01,1,NOR
2020-05-01,1,NOR
2020-04-01,0.67,NOR
2020-03-01,0.67,NOR
2020-02-01,0.5,NOR
2020-01-01,0,NOR
2020-12-01,0,KAZ
2020-11-01,0,KAZ
2020-10-01,0,KAZ
2020-09-01,0,KAZ
2020-08-14,0,KAZ
2020-07-01,0,KAZ
2020-06-01,0.5,KAZ
2020-05-01,0,KAZ
2020-04-01,0,KAZ
2020-03-01,0,KAZ
2020-02-01,0,KAZ
2020-01-01,0,KAZ
2020-12-01,0,CHE
2020-11-01,0,CHE
2020-10-01,0,CHE
2020-09-01,1,CHE
2020-08-14,1,CHE
2020-07-01,0.33,CHE
2020-06-01,1.29,CHE
2020-05-01,0.67,CHE
2020-04-01,0.5,CHE
2020-03-01,0.67,CHE
2020-02-01,1,CHE
2020-01-01,0,CHE
2020-12-01,0,SWE
2020-11-01,0,SWE
2020-10-01,0,SWE
2020-09-01,0,SWE
2020-08-14,1.29,SWE
2020-07-01,1.29,SWE
2020-06-01,2.2,SWE
2020-05-01,1,SWE
2020-04-01,1,SWE
2020-03-01,0.67,SWE
2020-02-01,0.5,SWE
2020-01-01,1,SWE
2020-12-01,0,MEX
2020-11-01,0,MEX
2020-10-01,0,MEX
2020-09-01,0,MEX
2020-08-14,0,MEX
2020-07-01,0,MEX
2020-06-01,1,MEX
2020-05-01,0,MEX
2020-04-01,0,MEX
2020-03-01,1,MEX
2020-02-01,0,MEX
2020-01-01,0,MEX
2020-12-01,0,AND
2020-11-01,0,AND
2020-10-01,0,AND
2020-09-01,0,AND
2020-08-14,0,AND
2020-07-01,0,AND
2020-06-01,0,AND
2020-05-01,0,AND
2020-04-01,0,AND
2020-03-01,1,AND
2020-02-01,0,AND
2020-01-01,0,AND
2020-12-01,0,LVA
2020-11-01,0,LVA
2020-10-01,0,LVA
2020-09-01,0,LVA
2020-08-14,0.33,LVA
2020-07-01,0.6,LVA
2020-06-01,2,LVA
2020-05-01,0.5,LVA
2020-04-01,1,LVA
2020-03-01,0.5,LVA
2020-02-01,0,LVA
2020-01-01,0,LVA
2020-12-01,0,HKG
2020-11-01,0,HKG
2020-10-01,0,HKG
2020-09-01,0,HKG
2020-08-14,0,HKG
2020-07-01,1,HKG
2020-06-01,1,HKG
2020-05-01,1,HKG
2020-04-01,0,HKG
2020-03-01,0.5,HKG
2020-02-01,0,HKG
2020-01-01,0,HKG
2020-12-01,0,LSO
2020-11-01,0,LSO
2020-10-01,0,LSO
2020-09-01,0,LSO
2020-08-14,0,LSO
2020-07-01,0,LSO
2020-06-01,0.5,LSO
2020-05-01,0,LSO
2020-04-01,0,LSO
2020-03-01,0,LSO
2020-02-01,0,LSO
2020-01-01,0,LSO
2020-12-01,0,HRV
2020-11-01,0,HRV
2020-10-01,0,HRV
2020-09-01,0,HRV
2020-08-14,0,HRV
2020-07-01,0,HRV
2020-06-01,0,HRV
2020-05-01,0,HRV
2020-04-01,1,HRV
2020-03-01,0.67,HRV
2020-02-01,0,HRV
2020-01-01,0,HRV
2020-12-01,0,IRL
2020-11-01,0,IRL
2020-10-01,0,IRL
2020-09-01,0,IRL
2020-08-14,2.2,IRL
2020-07-01,0.78,IRL
2020-06-01,1,IRL
2020-05-01,0.67,IRL
2020-04-01,0,IRL
2020-03-01,1,IRL
2020-02-01,0,IRL
2020-01-01,0,IRL
2020-12-01,0,KOR
2020-11-01,0,KOR
2020-10-01,0,KOR
2020-09-01,0,KOR
2020-08-14,1,KOR
2020-07-01,0,KOR
2020-06-01,1,KOR
2020-05-01,0,KOR
2020-04-01,0,KOR
2020-03-01,0,KOR
2020-02-01,0,KOR
2020-01-01,0,KOR
2020-12-01,0,MLI
2020-11-01,0,MLI
2020-10-01,0,MLI
2020-09-01,0,MLI
2020-08-14,0.67,MLI
2020-07-01,0,MLI
2020-06-01,0,MLI
2020-05-01,0,MLI
2020-04-01,0,MLI
2020-03-01,1,MLI
2020-02-01,0,MLI
2020-01-01,0,MLI
2020-12-01,0,CZE
2020-11-01,0,CZE
2020-10-01,0,CZE
2020-09-01,1,CZE
2020-08-14,1.4,CZE
2020-07-01,2.75,CZE
2020-06-01,1,CZE
2020-05-01,0.5,CZE
2020-04-01,0.5,CZE
2020-03-01,0.67,CZE
2020-02-01,1,CZE
2020-01-01,0,CZE
2020-12-01,0,IRN
2020-11-01,0,IRN
2020-10-01,0,IRN
2020-09-01,0,IRN
2020-08-14,0,IRN
2020-07-01,0,IRN
2020-06-01,0,IRN
2020-05-01,0,IRN
2020-04-01,1,IRN
2020-03-01,0,IRN
2020-02-01,0,IRN
2020-01-01,0,IRN
2020-12-01,0,BEN
2020-11-01,0,BEN
2020-10-01,0,BEN
2020-09-01,0,BEN
2020-08-14,0,BEN
2020-07-01,0.5,BEN
2020-06-01,0,BEN
2020-05-01,0,BEN
2020-04-01,0,BEN
2020-03-01,0,BEN
2020-02-01,0,BEN
2020-01-01,0,BEN
2020-12-01,0,LIE
2020-11-01,0,LIE
2020-10-01,0,LIE
2020-09-01,0,LIE
2020-08-14,0,LIE
2020-07-01,0,LIE
2020-06-01,0,LIE
2020-05-01,0,LIE
2020-04-01,0,LIE
2020-03-01,0,LIE
2020-02-01,0.5,LIE
2020-01-01,0,LIE
2020-12-01,0,ESP
2020-11-01,0,ESP
2020-10-01,0,ESP
2020-09-01,0,ESP
2020-08-14,0.6,ESP
2020-07-01,1.67,ESP
2020-06-01,0.6,ESP
2020-05-01,1,ESP
2020-04-01,1,ESP
2020-03-01,1,ESP
2020-02-01,0.67,ESP
2020-01-01,0,ESP
2020-12-01,0,COL
2020-11-01,0,COL
2020-10-01,0,COL
2020-09-01,0,COL
2020-08-14,1,COL
2020-07-01,0,COL
2020-06-01,0,COL
2020-05-01,0,COL
2020-04-01,0,COL
2020-03-01,0,COL
2020-02-01,0,COL
2020-01-01,0,COL
2020-12-01,0.5,SGP
2020-11-01,0,SGP
2020-10-01,0,SGP
2020-09-01,0,SGP
2020-08-14,0,SGP
2020-07-01,0.5,SGP
2020-06-01,0,SGP
2020-05-01,0,SGP
2020-04-01,0,SGP
2020-03-01,0,SGP
2020-02-01,0,SGP
2020-01-01,0,SGP
2020-12-01,0,MAR
2020-11-01,0,MAR
2020-10-01,0,MAR
2020-09-01,0,MAR
2020-08-14,0,MAR
2020-07-01,0,MAR
2020-06-01,0,MAR
2020-05-01,0,MAR
2020-04-01,0.5,MAR
2020-03-01,0,MAR
2020-02-01,0,MAR
2020-01-01,0,MAR
2020-12-01,0,PAK
2020-11-01,0,PAK
2020-10-01,0,PAK
2020-09-01,0,PAK
2020-08-14,3,PAK
2020-07-01,0.75,PAK
2020-06-01,1.5,PAK
2020-05-01,0.5,PAK
2020-04-01,0.5,PAK
2020-03-01,0.67,PAK
2020-02-01,0,PAK
2020-01-01,0.33,PAK
2020-12-01,0,ETH
2020-11-01,0,ETH
2020-10-01,0,ETH
2020-09-01,0,ETH
2020-08-14,0,ETH
2020-07-01,0,ETH
2020-06-01,0.5,ETH
2020-05-01,0,ETH
2020-04-01,0,ETH
2020-03-01,0,ETH
2020-02-01,0,ETH
2020-01-01,0,ETH
2020-12-01,0,GHA
2020-11-01,0,GHA
2020-10-01,0,GHA
2020-09-01,0,GHA
2020-08-14,1,GHA
2020-07-01,0.5,GHA
2020-06-01,0,GHA
2020-05-01,1,GHA
2020-04-01,0,GHA
2020-03-01,0,GHA
2020-02-01,0,GHA
2020-01-01,0,GHA
2020-12-01,0,AUS
2020-11-01,0,AUS
2020-10-01,0,AUS
2020-09-01,0.5,AUS
2020-08-14,0.5,AUS
2020-07-01,0.5,AUS
2020-06-01,1,AUS
2020-05-01,0,AUS
2020-04-01,0,AUS
2020-03-01,0.5,AUS
2020-02-01,0,AUS
2020-01-01,0,AUS
2020-12-01,0,PSE
2020-11-01,0,PSE
2020-10-01,0,PSE
2020-09-01,0,PSE
2020-08-14,0,PSE
2020-07-01,0,PSE
2020-06-01,0.5,PSE
2020-05-01,0,PSE
2020-04-01,0,PSE
2020-03-01,0,PSE
2020-02-01,0,PSE
2020-01-01,0,PSE
2020-12-01,0,RUS
2020-11-01,0,RUS
2020-10-01,0,RUS
2020-09-01,1,RUS
2020-08-14,0.5,RUS
2020-07-01,0.45,RUS
2020-06-01,0.6,RUS
2020-05-01,1,RUS
2020-04-01,0.5,RUS
2020-03-01,2,RUS
2020-02-01,0,RUS
2020-01-01,0,RUS
2020-12-01,0,DEU
2020-11-01,0,DEU
2020-10-01,0,DEU
2020-09-01,0,DEU
2020-08-14,2,DEU
2020-07-01,0,DEU
2020-06-01,0.45,DEU
2020-05-01,0.67,DEU
2020-04-01,1,DEU
2020-03-01,1,DEU
2020-02-01,0.5,DEU
2020-01-01,0.5,DEU
2020-12-01,0,PER
2020-11-01,0,PER
2020-10-01,0,PER
2020-09-01,0,PER
2020-08-14,1.5,PER
2020-07-01,0.4,PER
2020-06-01,0.75,PER
2020-05-01,0.5,PER
2020-04-01,1,PER
2020-03-01,0.33,PER
2020-02-01,1,PER
2020-01-01,0,PER
2020-12-01,0,SAU
2020-11-01,0,SAU
2020-10-01,0,SAU
2020-09-01,0,SAU
2020-08-14,0.5,SAU
2020-07-01,0,SAU
2020-06-01,1,SAU
2020-05-01,0,SAU
2020-04-01,0,SAU
2020-03-01,1,SAU
2020-02-01,0,SAU
2020-01-01,0,SAU
2020-12-01,0,LBY
2020-11-01,0,LBY
2020-10-01,0,LBY
2020-09-01,0,LBY
2020-08-14,0,LBY
2020-07-01,0,LBY
2020-06-01,0,LBY
2020-05-01,0.5,LBY
2020-04-01,0,LBY
2020-03-01,0,LBY
2020-02-01,0,LBY
2020-01-01,0,LBY
2020-12-01,0,BGR
2020-11-01,0,BGR
2020-10-01,0,BGR
2020-09-01,0,BGR
2020-08-14,0,BGR
2020-07-01,0,BGR
2020-06-01,0,BGR
2020-05-01,0.5,BGR
2020-04-01,0.5,BGR
2020-03-01,1,BGR
2020-02-01,0,BGR
2020-01-01,0,BGR
2020-12-01,0,PLW
2020-11-01,0,PLW
2020-10-01,0,PLW
2020-09-01,0,PLW
2020-08-14,0,PLW
2020-07-01,0,PLW
2020-06-01,1,PLW
2020-05-01,0,PLW
2020-04-01,0,PLW
2020-03-01,0,PLW
2020-02-01,0,PLW
2020-01-01,0,PLW
2020-12-01,0,MKD
2020-11-01,0,MKD
2020-10-01,0,MKD
2020-09-01,0,MKD
2020-08-14,0,MKD
2020-07-01,0.33,MKD
2020-06-01,1.67,MKD
2020-05-01,0,MKD
2020-04-01,0,MKD
2020-03-01,0,MKD
2020-02-01,0,MKD
2020-01-01,0,MKD
2020-12-01,0,SRB
2020-11-01,0,SRB
2020-10-01,0,SRB
2020-09-01,0,SRB
2020-08-14,0,SRB
2020-07-01,1.8,SRB
2020-06-01,0,SRB
2020-05-01,1,SRB
2020-04-01,1,SRB
2020-03-01,0,SRB
2020-02-01,0,SRB
2020-01-01,0,SRB
2020-12-01,0,ITA
2020-11-01,0,ITA
2020-10-01,0,ITA
2020-09-01,1,ITA
2020-08-14,0.5,ITA
2020-07-01,1.4,ITA
2020-06-01,0.67,ITA
2020-05-01,1,ITA
2020-04-01,0.5,ITA
2020-03-01,0.67,ITA
2020-02-01,0.67,ITA
2020-01-01,0.67,ITA
2020-12-01,0,COM
2020-11-01,0,COM
2020-10-01,0,COM
2020-09-01,0,COM
2020-08-14,0,COM
2020-07-01,1,COM
2020-06-01,0,COM
2020-05-01,0,COM
2020-04-01,0,COM
2020-03-01,0,COM
2020-02-01,0,COM
2020-01-01,0,COM
2020-12-01,0,TWN
2020-11-01,0,TWN
2020-10-01,0,TWN
2020-09-01,0,TWN
2020-08-14,0.67,TWN
2020-07-01,0.5,TWN
2020-06-01,0,TWN
2020-05-01,0,TWN
2020-04-01,0,TWN
2020-03-01,1,TWN
2020-02-01,0.5,TWN
2020-01-01,0,TWN
2020-12-01,0,GMB
2020-11-01,0,GMB
2020-10-01,0,GMB
2020-09-01,0,GMB
2020-08-14,0,GMB
2020-07-01,0,GMB
2020-06-01,0.5,GMB
2020-05-01,0,GMB
2020-04-01,0,GMB
2020-03-01,0,GMB
2020-02-01,0,GMB
2020-01-01,0,GMB
2020-12-01,0,DNK
2020-11-01,0,DNK
2020-10-01,0,DNK
2020-09-01,0,DNK
2020-08-14,0,DNK
2020-07-01,0,DNK
2020-06-01,0,DNK
2020-05-01,0.67,DNK
2020-04-01,1,DNK
2020-03-01,1,DNK
2020-02-01,0.67,DNK
2020-01-01,0,DNK
2020-12-01,0,SVN
2020-11-01,0,SVN
2020-10-01,0,SVN
2020-09-01,0,SVN
2020-08-14,0,SVN
2020-07-01,0,SVN
2020-06-01,0,SVN
2020-05-01,0,SVN
2020-04-01,0.5,SVN
2020-03-01,1,SVN
2020-02-01,0,SVN
2020-01-01,0,SVN
2020-12-01,0,EST
2020-11-01,0,EST
2020-10-01,0,EST
2020-09-01,0,EST
2020-08-14,0,EST
2020-07-01,0,EST
2020-06-01,0,EST
2020-05-01,0,EST
2020-04-01,0,EST
2020-03-01,0,EST
2020-02-01,0,EST
2020-01-01,0.5,EST
2020-12-01,0,SVK
2020-11-01,0,SVK
2020-10-01,0,SVK
2020-09-01,0,SVK
2020-08-14,0,SVK
2020-07-01,0,SVK
2020-06-01,0,SVK
2020-05-01,0,SVK
2020-04-01,1,SVK
2020-03-01,1,SVK
2020-02-01,0,SVK
2020-01-01,0,SVK
2020-12-01,0,AUT
2020-11-01,0,AUT
2020-10-01,0,AUT
2020-09-01,0,AUT
2020-08-14,0,AUT
2020-07-01,0,AUT
2020-06-01,0,AUT
2020-05-01,0.5,AUT
2020-04-01,0.67,AUT
2020-03-01,0.67,AUT
2020-02-01,1,AUT
2020-01-01,0,AUT
2020-12-01,0,JAM
2020-11-01,0,JAM
2020-10-01,0,JAM
2020-09-01,0,JAM
2020-08-14,0,JAM
2020-07-01,0.5,JAM
2020-06-01,0,JAM
2020-05-01,0,JAM
2020-04-01,0,JAM
2020-03-01,0,JAM
2020-02-01,0,JAM
2020-01-01,0,JAM
2020-12-01,0,ECU
2020-11-01,0,ECU
2020-10-01,0,ECU
2020-09-01,0,ECU
2020-08-14,0,ECU
2020-07-01,0,ECU
2020-06-01,0,ECU
2020-05-01,0,ECU
2020-04-01,0.5,ECU
2020-03-01,0,ECU
2020-02-01,0,ECU
2020-01-01,0,ECU
2020-12-01,0,ARM
2020-11-01,0,ARM
2020-10-01,0,ARM
2020-09-01,0.5,ARM
2020-08-14,0,ARM
2020-07-01,0.5,ARM
2020-06-01,0,ARM
2020-05-01,0.5,ARM
2020-04-01,0,ARM
2020-03-01,0,ARM
2020-02-01,0,ARM
2020-01-01,0.5,ARM
2020-12-01,0,IRQ
2020-11-01,0,IRQ
2020-10-01,0,IRQ
2020-09-01,0,IRQ
2020-08-14,0,IRQ
2020-07-01,0,IRQ
2020-06-01,0,IRQ
2020-05-01,0,IRQ
2020-04-01,1,IRQ
2020-03-01,0,IRQ
2020-02-01,0,IRQ
2020-01-01,0,IRQ
2020-12-01,0,MDA
2020-11-01,0,MDA
2020-10-01,0,MDA
2020-09-01,0,MDA
2020-08-14,0,MDA
2020-07-01,0,MDA
2020-06-01,0.33,MDA
2020-05-01,0,MDA
2020-04-01,0,MDA
2020-03-01,1,MDA
2020-02-01,0,MDA
2020-01-01,0,MDA
2020-12-01,0,LUX
2020-11-01,0,LUX
2020-10-01,0,LUX
2020-09-01,0,LUX
2020-08-14,0,LUX
2020-07-01,0,LUX
2020-06-01,0,LUX
2020-05-01,1,LUX
2020-04-01,0.67,LUX
2020-03-01,0.5,LUX
2020-02-01,1,LUX
2020-01-01,0,LUX
2020-12-01,0,ISR
2020-11-01,0,ISR
2020-10-01,0,ISR
2020-09-01,2,ISR
2020-08-14,0,ISR
2020-07-01,0.5,ISR
2020-06-01,5,ISR
2020-05-01,0,ISR
2020-04-01,0.5,ISR
2020-03-01,0.5,ISR
2020-02-01,0.5,ISR
2020-01-01,0,ISR
2020-12-01,0,CHL
2020-11-01,0,CHL
2020-10-01,0,CHL
2020-09-01,0,CHL
2020-08-14,0.5,CHL
2020-07-01,0.5,CHL
2020-06-01,2,CHL
2020-05-01,0.75,CHL
2020-04-01,0.5,CHL
2020-03-01,0.5,CHL
2020-02-01,0,CHL
2020-01-01,0,CHL
2020-12-01,0,CHN
2020-11-01,0,CHN
2020-10-01,0,CHN
2020-09-01,0.5,CHN
2020-08-14,0,CHN
2020-07-01,0,CHN
2020-06-01,0,CHN
2020-05-01,0,CHN
2020-04-01,1,CHN
2020-03-01,0.5,CHN
2020-02-01,0,CHN
2020-01-01,0,CHN
2020-12-01,0,NZL
2020-11-01,0,NZL
2020-10-01,1,NZL
2020-09-01,2.33,NZL
2020-08-14,0.67,NZL
2020-07-01,1.67,NZL
2020-06-01,1.25,NZL
2020-05-01,1,NZL
2020-04-01,0.67,NZL
2020-03-01,0.67,NZL
2020-02-01,1,NZL
2020-01-01,0.5,NZL
2020-12-01,0,POL
2020-11-01,0,POL
2020-10-01,0,POL
2020-09-01,0,POL
2020-08-14,0,POL
2020-07-01,0,POL
2020-06-01,0.67,POL
2020-05-01,0.67,POL
2020-04-01,0.67,POL
2020-03-01,1,POL
2020-02-01,0,POL
2020-01-01,0,POL
2020-12-01,0,BEL
2020-11-01,0,BEL
2020-10-01,0,BEL
2020-09-01,0,BEL
